rcdc_name,INCa/INSERM/DGOS share,National Cancer Institute share,Cancer Research UK share,Wellcome Trust share,National Health and Medical Research Council share,average_share
OVARIAN CANCER,0.004820669792191355,0.007698885511756301,0.00907507624230102,0.0057892896496375594,0.007709594814263439,0.007018703202029934
PANCREATIC CANCER,0.004778971528942467,0.005765199495513107,0.004940218727368154,0.0028468077199990693,0.002150609868983366,0.0040963614681612335
STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN,0.004682693587726723,0.006412597333988089,0.006693480581090448,0.003406724419567858,0.006063123081195323,0.005451723800713688
MENTAL HEALTH,0.004566623766321546,0.006880026664339832,0.007889651160894354,0.00356497717495929,0.013175083129902468,0.007215272379283498
CHILDHOOD LEUKEMIA,0.004532773011791972,0.002247958390883244,0.0015505953513488054,0.0009308719965523738,0.0012958986227058565,0.0021116194746564503
PEDIATRIC RESEARCH INITIATIVE,0.004159835927823841,0.0031593457403750066,0.0022872040986314786,0.0022277962287716798,0.002945024217614582,0.0029558412426433176
CHRONIC LIVER DISEASE AND CIRRHOSIS,0.004114071552755739,0.0017889932820918078,0.0017873893930821544,0.0030257342686216032,0.0037830280111906525,0.002899843301548391
PAIN RESEARCH,0.004096978765698978,0.0035856195332589036,0.004885455342759653,0.002905257372010744,0.005287019142440823,0.0041520660312338205
LIVER CANCER,0.003803119100108536,0.001631346622554392,0.0007221399362462563,0.00048128004151414976,0.0005824191818167717,0.001444060976448021
ESTROGEN,0.0037669583700038166,0.005188822199850922,0.004843794640780823,0.004203923481276755,0.004025085218609319,0.004405716782104328
HEART DISEASE,0.0037277718987587627,0.005369964095284045,0.005652231820084472,0.008142506890677926,0.0054522223385175175,0.0056689394086645445
NEURODEGENERATIVE,0.0036815960418192244,0.0034870639413785423,0.0039000934417426736,0.0040738046793972645,0.006868657885224105,0.004402243197912362
DIABETES,0.003263490140161074,0.006333102904990011,0.004992609827268683,0.0206512426679879,0.00879320928266708,0.008806730964614951
TOBACCO,0.00298777588967058,0.008741600757644534,0.012158572207755965,0.005503815355871929,0.007654257635432289,0.007409204369275059
SMOKING AND HEALTH,0.002974860498398801,0.008574002838998807,0.01197718529551932,0.004934802187281458,0.00761064689905047,0.007214299543849771
