="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="(3.389)",="(3.391)",="(3.404)",="(5.433)",="(6.918)",="(6.932)",="(7.057)",="(11.575)"
="post_flag=1 # National Health and Medical Rese",="-0.063",="-0.063",="-0.295",="-0.063",="-4.036",="-4.036",="-4.787",="-4.036"
="",="(3.874)",="(3.875)",="(3.884)",="(6.051)",="(7.798)",="(7.804)",="(7.891)",="(12.769)"
="post_flag=1 # Wellcome Trust",="-5.958",="-5.958",="-6.249",="-5.958",="-8.097",="-8.097",="-9.016",="-8.097"
="",="(5.933)",="(5.938)",="(5.954)",="(8.608)",="(8.564)",="(8.583)",="(8.738)",="(13.304)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-14.868***",="-14.853***",="-15.026***",="",="-14.794***",="-14.889***",="-15.010***",=""
="",="(2.120)",="(2.135)",="(2.078)",="",="(2.109)",="(2.072)",="(2.075)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="0.982",="0.832",="0.779",="",="3.331",="2.956",="3.702",=""
="",="(0.791)",="(0.797)",="(0.793)",="",="(3.218)",="(3.345)",="(3.298)",=""
="start_year=2009",="1.416**",="1.456**",="0.669",="",="7.572**",="7.903***",="6.059**",=""
="",="(0.687)",="(0.687)",="(0.700)",="",="(2.956)",="(2.950)",="(2.914)",=""
="start_year=2010",="2.466***",="2.536***",="1.869**",="",="-2.737",="-2.443",="-3.395",=""
="",="(0.776)",="(0.775)",="(0.772)",="",="(2.312)",="(2.268)",="(2.290)",=""
="start_year=2011",="3.658***",="3.469***",="2.757***",="",="-3.655*",="-3.929**",="-5.292**",=""
="",="(0.939)",="(0.929)",="(0.907)",="",="(1.927)",="(1.964)",="(2.056)",=""
="start_year=2012",="3.559***",="3.586***",="3.167***",="",="-2.813",="-2.806",="-4.114*",=""
="",="(0.954)",="(0.951)",="(0.927)",="",="(2.336)",="(2.319)",="(2.426)",=""
="F",="",="4.435***",="4.170***",="",="",="5.545**",="5.571**",=""
="",="",="(0.750)",="(0.739)",="",="",="(2.326)",="(2.297)",=""
="M",="",="0.323",="-1.850***",="",="",="1.795",="-0.404",=""
="",="",="(0.636)",="(0.655)",="",="",="(1.947)",="(2.025)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.740***",="",="",="",="1.080***",=""
="",="",="",="(0.077)",="",="",="",="(0.150)",=""
="rsr_career_age_2",="",="",="-0.009***",="",="",="",="-0.017***",=""
="",="",="",="(0.003)",="",="",="",="(0.005)",=""
="Constant",="7.214***",="5.381***",="-1.441",="6.849***",="11.630***",="8.481***",="-1.695",="8.173***"
="",="(0.918)",="(1.081)",="(1.136)",="(0.379)",="(2.156)",="(2.571)",="(2.468)",="(1.164)"
="Observations",="24750",="24750",="24750",="24750",="23320",="23320",="23320",="23320"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
