INCA ID,Dimensions Researcher ID,Additional Researcher DIM ID to combine,Additional Researcher DIM ID to combine 2,prenom_port,nom_port,URL 1,URL 2,URL 3
inca_859,ur.01300145475.07,,,Angéla,MARINETTI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01300145475.07,,
inca_860,ur.0643655064.30,,,Emmanuel,MARRET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0643655064.30,,
inca_861,ur.01000550416.12,,,Alexandre,MARSAUD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01000550416.12,,
inca_862,ur.01065512600.26,,,Olivier,MARTIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01065512600.26,,
inca_863,ur.0733374540.32,,,Angelo,MARTINO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0733374540.32,,
inca_864,ur.01160540101.68,,,Ettore,MARZANO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01160540101.68,,
inca_865,ur.01237332065.78,,,Patrice,MATHEVET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01237332065.78,,
inca_867,ur.01023377000.84,,,Juliette,MATHIAUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01023377000.84,,
inca_868,ur.01046777226.88,,,Simone,MATHOULIN-PELISSIER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01046777226.88,,
inca_869,ur.01020414745.44,,,Philippe,MATHURIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01020414745.44,,
inca_870,ur.0762115262.49,,,Sébastien,MAURY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0762115262.49,,
inca_871,ur.01257051067.02,,,Marc,MAYNADIE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01257051067.02,,
inca_872,ur.0717434113.69,,,Alejandro,MAZAL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0717434113.69,,
inca_873,ur.01354431452.48,,,Fatima,MECHTA-GRIGORIOU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01354431452.48,,
inca_874,ur.0630355017.80,,,Khaled,MEFLAH,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0630355017.80,,
inca_875,ur.01156616333.17,,,Patrick,MEHLEN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01156616333.17,,
inca_878,ur.01125536212.47,,,Laurent,MEIJER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01125536212.47,,
inca_879,ur.0631714116.48,,,Arnaud,MEJEAN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0631714116.48,,
inca_880,ur.01123260553.67,,,Maria,MELCHIOR,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01123260553.67,,
inca_881,ur.01126374130.65,,,Laurent,MENARD,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01126374130.65,,
inca_882,ur.0647145701.51,,,Florence,MENEGAUX,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0647145701.51,,
